Sex,Age,SibSp,Parch,Fare,Survived,Pclass3,Pclass2,Pclass1,Embarked_Q,Embarked_C,Embarked_S,PassengerId
1,28.0,0,0,7.75,0,1,0,0,1,0,0,980
0,53.0,0,0,28.5,1,0,0,1,0,1,0,1023
1,35.0,1,1,20.25,1,1,0,0,0,0,1,280
1,16.0,0,0,7.65,1,1,0,0,0,0,1,1237
1,28.0,1,0,24.0,1,0,1,0,0,1,0,875
1,18.0,0,0,7.2292,1,1,0,0,0,1,0,900
0,30.0,0,0,7.25,0,1,0,0,0,0,1,366
1,40.0,1,0,9.475,0,1,0,0,0,0,1,41
1,18.0,0,1,9.35,1,1,0,0,0,0,1,856
0,26.0,0,0,18.7875,1,1,0,0,0,1,0,208
0,30.0,0,0,13.0,0,0,1,0,0,0,1,970
1,25.0,1,2,151.55,0,0,0,1,0,0,1,499
0,48.0,0,0,26.55,1,0,0,1,0,0,1,461
0,27.0,0,0,7.7958,1,1,0,0,0,0,1,147
0,26.0,0,0,7.8958,0,1,0,0,0,0,1,1187
1,36.0,1,0,26.0,1,0,1,0,0,0,1,519
1,53.0,2,0,51.4792,1,0,0,1,0,0,1,572
1,18.0,1,0,17.8,0,1,0,0,0,0,1,50
1,38.0,1,5,31.3875,1,1,0,0,0,0,1,26
1,45.0,0,0,7.225,1,1,0,0,0,1,0,911
0,21.0,0,0,7.225,0,1,0,0,0,1,0,909
1,18.0,1,0,227.525,1,0,0,1,0,1,0,701
1,17.0,0,0,14.4583,0,1,0,0,0,1,0,115
0,30.0,0,0,7.225,0,1,0,0,0,1,0,245
1,13.0,0,0,7.2292,1,1,0,0,0,1,0,781
0,20.0,0,0,7.225,0,1,0,0,0,1,0,1129
1,33.0,3,0,15.85,1,1,0,0,0,0,1,86
1,0.75,2,1,19.2583,1,1,0,0,0,1,0,645
1,0.75,2,1,19.2583,1,1,0,0,0,1,0,470
1,5.0,2,1,19.2583,1,1,0,0,0,1,0,449
1,24.0,0,3,19.2583,1,1,0,0,0,1,0,859
0,26.0,0,0,7.8958,0,1,0,0,0,0,1,871
1,36.0,0,0,13.0,1,0,1,0,0,0,1,328
0,20.0,0,0,7.2292,1,1,0,0,0,1,0,763
1,26.0,0,0,78.85,1,0,0,1,0,0,1,291
1,50.0,0,1,247.5208,1,0,0,1,0,1,0,300
1,32.0,0,0,76.2917,1,0,0,1,0,1,0,219
1,19.0,1,0,26.0,1,0,1,0,0,0,1,547
1,36.0,0,3,39.0,1,0,1,0,0,0,1,1070
1,47.0,1,1,52.5542,1,0,0,1,0,0,1,872
1,19.0,0,0,13.0,1,0,1,0,0,0,1,1150
0,20.0,0,0,4.0125,0,1,0,0,0,1,0,379
1,19.0,1,0,91.0792,1,0,0,1,0,1,0,292
1,35.0,0,0,135.6333,1,0,0,1,0,0,1,270
0,26.0,0,0,7.8958,0,1,0,0,0,0,1,629
1,9.0,1,1,15.2458,0,1,0,0,0,1,0,853
1,28.0,0,2,15.2458,0,1,0,0,0,1,0,141
0,42.0,0,0,13.0,0,0,1,0,0,0,1,1020
0,28.0,0,0,26.55,1,0,0,1,0,0,1,508
0,48.0,0,0,50.4958,0,0,0,1,0,1,0,1058
1,24.0,0,0,13.0,1,0,1,0,0,0,1,346
1,44.0,0,0,27.7208,1,0,0,1,0,1,0,195
1,59.0,2,0,51.4792,1,0,0,1,0,0,1,1248
1,40.0,1,1,39.0,1,0,1,0,0,0,1,671
1,60.0,0,0,76.2917,1,0,0,1,0,1,0,940
1,22.0,1,1,29.0,1,0,1,0,0,0,1,324
1,53.0,0,0,27.4458,1,0,0,1,0,1,0,1116
0,21.0,0,0,8.05,0,1,0,0,0,0,1,38
1,58.0,0,1,512.3292,1,0,0,1,0,1,0,1235
1,16.0,0,0,7.75,1,1,0,0,1,0,0,209
1,37.0,0,0,7.75,0,1,0,0,1,0,0,1205
0,28.0,0,0,47.1,0,0,0,1,0,0,1,84
1,36.0,1,2,120.0,1,0,0,1,0,0,1,764
1,28.0,0,0,27.7208,1,0,0,1,0,1,0,1060
1,76.0,1,0,78.85,1,0,0,1,0,0,1,988
1,47.0,1,0,61.175,1,0,0,1,0,0,1,906
1,33.0,1,0,53.1,1,0,0,1,0,0,1,810
1,29.0,1,0,26.0,0,0,1,0,0,0,1,1011
0,45.0,0,0,29.7,1,0,0,1,0,1,0,938
0,28.0,0,0,0.0,0,0,0,1,0,0,1,1158
1,25.0,1,1,30.0,1,0,1,0,0,0,1,581
0,18.0,1,0,14.4542,0,1,0,0,0,1,0,1007
1,26.0,1,0,136.7792,1,0,0,1,0,1,0,1164
1,28.0,1,0,26.0,1,0,1,0,0,0,1,427
1,22.0,0,0,151.55,1,0,0,1,0,0,1,709
0,36.0,0,0,7.4958,0,1,0,0,0,0,1,664
0,24.0,0,0,7.4958,0,1,0,0,0,0,1,515
1,31.0,1,1,26.25,1,0,1,0,0,0,1,802
1,64.0,0,2,83.1583,1,0,0,1,0,1,0,1071
1,30.0,0,0,13.0,0,0,1,0,0,0,1,935
1,28.0,0,0,21.0,0,0,1,0,0,0,1,957
0,30.0,0,0,8.05,0,1,0,0,0,0,1,158
1,55.0,2,0,25.7,1,0,0,1,0,0,1,969
1,36.0,0,2,15.9,1,1,0,0,0,0,1,941
1,17.0,0,1,16.1,1,1,0,0,0,0,1,1017
1,36.0,0,2,71.0,1,0,0,1,0,0,1,541
1,64.0,1,1,26.55,1,0,0,1,0,0,1,1197
1,38.0,1,0,71.2833,1,0,0,1,0,1,0,2
0,22.5,0,0,7.225,0,1,0,0,0,1,0,919
0,45.0,0,0,8.05,1,1,0,0,0,0,1,339
1,30.0,0,0,6.95,1,1,0,0,1,0,0,1183
1,28.0,1,1,14.4,0,1,0,0,0,0,1,424
0,27.0,0,0,7.8958,0,1,0,0,0,0,1,322
0,25.0,0,0,7.8958,0,1,0,0,0,0,1,795
1,27.0,1,2,52.0,1,0,0,1,0,0,1,984
1,48.0,0,2,36.75,1,0,1,0,0,0,1,1222
1,28.0,0,0,13.0,1,0,1,0,0,0,1,636
1,28.0,1,0,16.1,1,1,0,0,0,0,1,348
1,33.0,1,2,20.575,1,1,0,0,0,0,1,924
1,24.0,1,0,27.7208,1,0,1,0,0,1,0,907
0,28.0,0,0,7.8958,0,1,0,0,0,0,1,975
0,25.0,0,0,31.5,0,0,1,0,0,0,1,1230
0,28.0,0,0,7.8958,0,1,0,0,0,0,1,336
1,17.0,1,0,57.0,1,0,0,1,0,0,1,782
0,43.0,0,0,7.8958,0,1,0,0,0,0,1,1026
1,54.0,1,1,81.8583,1,0,0,1,0,0,1,1266
0,28.0,0,0,7.2292,0,1,0,0,0,1,0,569
1,34.0,0,1,23.0,1,0,1,0,0,0,1,99
1,27.0,1,1,247.5208,1,0,0,1,0,1,0,1076
1,48.0,1,0,106.425,1,0,0,1,0,1,0,1131
0,54.0,0,0,26.0,0,0,1,0,0,0,1,583
1,34.0,1,1,32.5,1,0,1,0,0,0,1,417
0,65.0,0,0,7.75,0,1,0,0,1,0,0,281
1,48.0,1,0,39.6,1,0,0,1,0,1,0,557
1,27.0,1,0,13.8583,1,0,1,0,0,1,0,867
1,30.0,1,0,13.8583,1,0,1,0,0,1,0,1112
1,22.0,1,0,13.9,1,1,0,0,0,0,1,982
1,23.0,0,1,83.1583,1,0,0,1,0,1,0,1042
0,28.0,0,0,7.225,0,1,0,0,0,1,0,774
0,15.0,1,1,7.2292,0,1,0,0,0,1,0,353
0,28.0,0,0,7.225,0,1,0,0,0,1,0,27
1,29.0,1,0,26.0,1,0,1,0,0,0,1,54
1,21.0,2,2,34.375,0,1,0,0,0,0,1,437
1,60.0,1,4,263.0,1,0,0,1,0,0,1,961
0,36.0,0,0,13.0,0,0,1,0,0,0,1,345
0,28.0,0,0,7.25,0,1,0,0,0,0,1,1178
1,28.0,1,0,133.65,1,0,0,1,0,0,1,335
0,60.0,1,1,79.2,1,0,0,1,0,1,0,588
1,35.0,1,0,53.1,1,0,0,1,0,0,1,4
1,35.0,0,0,211.5,1,0,0,1,0,1,0,966
0,28.0,0,0,7.8958,0,1,0,0,0,1,0,421
1,45.0,0,1,59.4,1,0,0,1,0,1,0,1260
0,24.0,0,0,79.2,0,0,0,1,0,1,0,140
0,24.0,0,0,13.0,0,0,1,0,0,0,1,865
1,16.0,0,0,7.7333,1,1,0,0,1,0,0,157
1,28.0,1,0,89.1042,1,0,0,1,0,1,0,850
1,31.0,1,1,20.525,1,1,0,0,0,0,1,329
0,1.0,5,2,46.9,0,1,0,0,0,0,1,387
1,16.0,5,2,46.9,0,1,0,0,0,0,1,72
0,40.0,1,6,46.9,0,1,0,0,0,0,1,1031
1,43.0,1,6,46.9,0,1,0,0,0,0,1,679
1,58.0,0,1,153.4625,1,0,0,1,0,0,1,269
1,45.0,0,1,63.3583,1,0,0,1,0,1,0,1242
0,28.0,0,0,8.05,0,1,0,0,0,0,1,985
1,24.0,1,0,15.85,1,1,0,0,0,0,1,143
0,0.67,1,1,14.5,1,0,1,0,0,0,1,756
1,24.0,0,2,14.5,1,0,1,0,0,0,1,248
0,23.5,0,0,7.2292,0,1,0,0,0,1,0,297
0,26.0,1,0,7.8542,0,1,0,0,0,0,1,705
1,45.0,1,0,14.1083,1,1,0,0,0,0,1,1201
1,25.0,1,0,55.4417,1,0,0,1,0,1,0,1256
0,25.0,0,0,7.25,0,1,0,0,0,0,1,786
1,49.0,1,0,76.7292,1,0,0,1,0,1,0,53
1,35.0,1,0,83.475,1,0,0,1,0,0,1,231
1,45.0,1,1,26.25,1,0,1,0,0,0,1,441
0,11.0,0,0,18.7875,0,1,0,0,0,1,0,732
1,52.0,1,1,93.5,1,0,0,1,0,0,1,821
1,28.0,0,0,7.75,1,1,0,0,1,0,0,275
1,28.0,0,0,7.75,0,1,0,0,1,0,0,265
1,48.0,1,2,65.0,1,0,1,0,0,0,1,755
1,55.0,0,0,16.0,1,0,1,0,0,0,1,16
1,18.0,1,1,13.0,0,0,1,0,0,0,1,1130
1,16.0,0,1,57.9792,1,0,0,1,0,1,0,330
1,44.0,0,1,57.9792,1,0,0,1,0,1,0,524
1,22.0,1,1,12.2875,1,1,0,0,0,0,1,896
1,54.0,1,3,23.0,1,0,1,0,0,0,1,775
1,51.0,1,0,77.9583,1,0,0,1,0,0,1,766
1,29.0,1,0,26.0,1,0,1,0,0,0,1,1140
1,35.0,1,0,52.0,1,0,0,1,0,0,1,384
1,60.0,1,0,26.0,0,0,1,0,0,0,1,1105
1,35.0,1,0,90.0,1,0,0,1,0,0,1,487
0,30.0,0,0,7.2292,0,1,0,0,0,1,0,799
0,28.0,0,0,7.8958,0,1,0,0,0,0,1,902
0,28.0,0,0,7.8958,0,1,0,0,0,0,1,739
0,48.0,0,0,7.8542,0,1,0,0,0,0,1,772
1,23.0,0,0,13.7917,1,0,1,0,0,1,0,474
0,28.0,0,0,8.1125,1,1,0,0,0,0,1,445
0,49.0,0,0,0.0,0,1,0,0,0,0,1,598
1,27.0,0,2,11.1333,1,1,0,0,0,0,1,9
0,28.0,1,2,23.45,0,1,0,0,0,0,1,1136
1,28.0,1,2,23.45,0,1,0,0,0,0,1,889
1,28.0,1,2,23.45,0,1,0,0,0,0,1,925
0,23.0,0,0,7.8958,0,1,0,0,0,0,1,754
1,24.0,1,0,26.0,1,0,1,0,0,0,1,317
1,22.0,0,0,21.0,0,0,1,0,0,0,1,1138
