u_id,u_name,v_id,v_name,type
1284,"Abbott, Master. Eugene Joseph",280,"Abbott, Mrs. Stanton (Rosa Hunt)",MOTHER
1284,"Abbott, Master. Eugene Joseph",747,"Abbott, Mr. Rossmore Edward",FATHER
747,"Abbott, Mr. Rossmore Edward",1284,"Abbott, Master. Eugene Joseph",SON
747,"Abbott, Mr. Rossmore Edward",280,"Abbott, Mrs. Stanton (Rosa Hunt)",WIFE
280,"Abbott, Mrs. Stanton (Rosa Hunt)",1284,"Abbott, Master. Eugene Joseph",SON
280,"Abbott, Mrs. Stanton (Rosa Hunt)",747,"Abbott, Mr. Rossmore Edward",HUSBAND
949,"Abelseth, Mr. Olaus Jorgensen",700,"Humblen, Mr. Adolf Mathias Nicolai Olsen",SAME_CABIN
309,"Abelson, Mr. Samuel",875,"Abelson, Mrs. Samuel (Hannah Wizosky)",WIFE
875,"Abelson, Mrs. Samuel (Hannah Wizosky)",309,"Abelson, Mr. Samuel",HUSBAND
1143,"Abrahamsson, Mr. Abraham August Johannes",480,"Hirvonen, Miss. Hildur E",CONNECTED
1143,"Abrahamsson, Mr. Abraham August Johannes",896,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",CONNECTED
1143,"Abrahamsson, Mr. Abraham August Johannes",665,"Lindqvist, Mr. Eino William",CONNECTED
402,"Adams, Mr. John",665,"Lindqvist, Mr. Eino William",CONNECTED
41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",443,"Petterson, Mr. Johan Emil",BROTHER
1199,"Aks, Master. Philip Frank",856,"Aks, Mrs. Sam (Leah Rosen)",MOTHER
856,"Aks, Mrs. Sam (Leah Rosen)",1199,"Aks, Master. Philip Frank",SON
208,"Albimona, Mr. Nassef Cassem",525,"Kassem, Mr. Fared",RELATIVE
208,"Albimona, Mr. Nassef Cassem",732,"Hassan, Mr. Houssein G N",RELATIVE
970,"Aldworth, Mr. Charles Augustus",764,"Carter, Mrs. William Ernest (Lucile Polk)",EMPLOYER
970,"Aldworth, Mr. Charles Augustus",391,"Carter, Mr. William Ernest",EMPLOYER
785,"Ali, Mr. William",202,"Sage, Mr. Frederick",CONNECTED
785,"Ali, Mr. William",412,"Hart, Mr. Henry",CONNECTED
785,"Ali, Mr. William",917,"Robins, Mr. Alexander A",CONNECTED
785,"Ali, Mr. William",1008,"Thomas, Mr. John",CONNECTED
785,"Ali, Mr. William",758,"Bailey, Mr. Percy Andrew",CONNECTED
785,"Ali, Mr. William",777,"Tobin, Mr. Roger",CONNECTED
785,"Ali, Mr. William",865,"Gill, Mr. John William",CONNECTED
731,"Allen, Miss. Elisabeth Walton",1216,"Kreuchen, Miss. Emilie",EMPLOYEE
731,"Allen, Miss. Elisabeth Walton",780,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",AUNT
731,"Allen, Miss. Elisabeth Walton",690,"Madill, Miss. Georgette Alexandra",COUSIN
306,"Allison, Master. Hudson Trevor",499,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",MOTHER
306,"Allison, Master. Hudson Trevor",709,"Cleaver, Miss. Alice",NURSEMAID
306,"Allison, Master. Hudson Trevor",1033,"Daniels, Miss. Sarah",EMPLOYEE
306,"Allison, Master. Hudson Trevor",298,"Allison, Miss. Helen Loraine",SISTER
306,"Allison, Master. Hudson Trevor",1198,"Allison, Mr. Hudson Joshua Creighton",FATHER
298,"Allison, Miss. Helen Loraine",1198,"Allison, Mr. Hudson Joshua Creighton",FATHER
298,"Allison, Miss. Helen Loraine",499,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",MOTHER
298,"Allison, Miss. Helen Loraine",709,"Cleaver, Miss. Alice",EMPLOYEE
298,"Allison, Miss. Helen Loraine",306,"Allison, Master. Hudson Trevor",BROTHER
298,"Allison, Miss. Helen Loraine",1033,"Daniels, Miss. Sarah",EMPLOYEE
1198,"Allison, Mr. Hudson Joshua Creighton",1001,"Swane, Mr. George",EMPLOYEE
1198,"Allison, Mr. Hudson Joshua Creighton",306,"Allison, Master. Hudson Trevor",SON
1198,"Allison, Mr. Hudson Joshua Creighton",499,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",WIFE
1198,"Allison, Mr. Hudson Joshua Creighton",298,"Allison, Miss. Helen Loraine",DAUGHTER
1198,"Allison, Mr. Hudson Joshua Creighton",709,"Cleaver, Miss. Alice",EMPLOYEE
1198,"Allison, Mr. Hudson Joshua Creighton",1033,"Daniels, Miss. Sarah",EMPLOYER
1198,"Allison, Mr. Hudson Joshua Creighton",346,"Brown, Miss. Amelia ""Mildred""",EMPLOYEE
499,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",1033,"Daniels, Miss. Sarah",EMPLOYEE
499,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",1001,"Swane, Mr. George",EMPLOYEE
499,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",346,"Brown, Miss. Amelia ""Mildred""",EMPLOYEE
499,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",1198,"Allison, Mr. Hudson Joshua Creighton",HUSBAND
499,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",306,"Allison, Master. Hudson Trevor",SON
499,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",298,"Allison, Miss. Helen Loraine",DAUGHTER
499,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",709,"Cleaver, Miss. Alice",NURSE
193,"Andersen-Jensen, Miss. Carla Christine Nielsine",641,"Jensen, Mr. Hans Peder",FIANCE
193,"Andersen-Jensen, Miss. Carla Christine Nielsine",772,"Jensen, Mr. Niels Peder",UNCLE
193,"Andersen-Jensen, Miss. Carla Christine Nielsine",722,"Jensen, Mr. Svend Lauritz",BROTHER
1102,"Andersen, Mr. Albert Karvin",509,"Olsen, Mr. Henry Margido",CONNECTED
1102,"Andersen, Mr. Albert Karvin",997,"Holthen, Mr. Johan Martin",CONNECTED
851,"Andersson, Master. Sigvard Harald Elias",543,"Andersson, Miss. Sigrid Elisabeth",SISTER
851,"Andersson, Master. Sigvard Harald Elias",542,"Andersson, Miss. Ingeborg Constanzia",SISTER
851,"Andersson, Master. Sigvard Harald Elias",14,"Andersson, Mr. Anders Johan",FATHER
851,"Andersson, Master. Sigvard Harald Elias",814,"Andersson, Miss. Ebba Iris Alfrida",SISTER
851,"Andersson, Master. Sigvard Harald Elias",120,"Andersson, Miss. Ellis Anna Maria",SISTER
851,"Andersson, Master. Sigvard Harald Elias",611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",MOTHER
814,"Andersson, Miss. Ebba Iris Alfrida",14,"Andersson, Mr. Anders Johan",FATHER
814,"Andersson, Miss. Ebba Iris Alfrida",542,"Andersson, Miss. Ingeborg Constanzia",SISTER
814,"Andersson, Miss. Ebba Iris Alfrida",120,"Andersson, Miss. Ellis Anna Maria",SISTER
814,"Andersson, Miss. Ebba Iris Alfrida",611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",MOTHER
814,"Andersson, Miss. Ebba Iris Alfrida",851,"Andersson, Master. Sigvard Harald Elias",BROTHER
814,"Andersson, Miss. Ebba Iris Alfrida",543,"Andersson, Miss. Sigrid Elisabeth",SISTER
120,"Andersson, Miss. Ellis Anna Maria",542,"Andersson, Miss. Ingeborg Constanzia",SISTER
120,"Andersson, Miss. Ellis Anna Maria",814,"Andersson, Miss. Ebba Iris Alfrida",SISTER
120,"Andersson, Miss. Ellis Anna Maria",543,"Andersson, Miss. Sigrid Elisabeth",SISTER
120,"Andersson, Miss. Ellis Anna Maria",611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",MOTHER
120,"Andersson, Miss. Ellis Anna Maria",851,"Andersson, Master. Sigvard Harald Elias",BROTHER
120,"Andersson, Miss. Ellis Anna Maria",14,"Andersson, Mr. Anders Johan",FATHER
69,"Andersson, Miss. Erna Alexandra",105,"Gustafsson, Mr. Anders Vilhelm",EMPLOYER
69,"Andersson, Miss. Erna Alexandra",86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",EMPLOYER
69,"Andersson, Miss. Erna Alexandra",393,"Gustafsson, Mr. Johan Birger",EMPLOYER
69,"Andersson, Miss. Erna Alexandra",207,"Backstrom, Mr. Karl Alfred",EMPLOYER
542,"Andersson, Miss. Ingeborg Constanzia",611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",MOTHER
542,"Andersson, Miss. Ingeborg Constanzia",851,"Andersson, Master. Sigvard Harald Elias",BROTHER
542,"Andersson, Miss. Ingeborg Constanzia",814,"Andersson, Miss. Ebba Iris Alfrida",SISTER
542,"Andersson, Miss. Ingeborg Constanzia",14,"Andersson, Mr. Anders Johan",FATHER
542,"Andersson, Miss. Ingeborg Constanzia",120,"Andersson, Miss. Ellis Anna Maria",SISTER
542,"Andersson, Miss. Ingeborg Constanzia",543,"Andersson, Miss. Sigrid Elisabeth",SISTER
543,"Andersson, Miss. Sigrid Elisabeth",542,"Andersson, Miss. Ingeborg Constanzia",SISTER
543,"Andersson, Miss. Sigrid Elisabeth",851,"Andersson, Master. Sigvard Harald Elias",BROTHER
543,"Andersson, Miss. Sigrid Elisabeth",14,"Andersson, Mr. Anders Johan",FATHER
543,"Andersson, Miss. Sigrid Elisabeth",120,"Andersson, Miss. Ellis Anna Maria",SISTER
543,"Andersson, Miss. Sigrid Elisabeth",611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",MOTHER
543,"Andersson, Miss. Sigrid Elisabeth",814,"Andersson, Miss. Ebba Iris Alfrida",SISTER
14,"Andersson, Mr. Anders Johan",814,"Andersson, Miss. Ebba Iris Alfrida",DAUGHTER
14,"Andersson, Mr. Anders Johan",542,"Andersson, Miss. Ingeborg Constanzia",DAUGHTER
14,"Andersson, Mr. Anders Johan",617,"Danbom, Mr. Ernst Gilbert",BROTHER-IN-LAW
14,"Andersson, Mr. Anders Johan",543,"Andersson, Miss. Sigrid Elisabeth",DAUGHTER
14,"Andersson, Mr. Anders Johan",611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",WIFE
14,"Andersson, Mr. Anders Johan",851,"Andersson, Master. Sigvard Harald Elias",SON
14,"Andersson, Mr. Anders Johan",142,"Nysten, Miss. Anna Sofia",CONNECTED
14,"Andersson, Mr. Anders Johan",424,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",SISTER-IN-LAW
14,"Andersson, Mr. Anders Johan",120,"Andersson, Miss. Ellis Anna Maria",DAUGHTER
611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",14,"Andersson, Mr. Anders Johan",HUSBAND
611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",851,"Andersson, Master. Sigvard Harald Elias",SON
611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",424,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",SISTER
611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",120,"Andersson, Miss. Ellis Anna Maria",DAUGHTER
611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",543,"Andersson, Miss. Sigrid Elisabeth",DAUGHTER
611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",617,"Danbom, Mr. Ernst Gilbert",BROTHER-IN-LAW
611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",814,"Andersson, Miss. Ebba Iris Alfrida",DAUGHTER
611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",142,"Nysten, Miss. Anna Sofia",CONNECTED
611,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",542,"Andersson, Miss. Ingeborg Constanzia",DAUGHTER
92,"Andreasson, Mr. Paul Edvin",570,"Jonsson, Mr. Carl",COMPANION
92,"Andreasson, Mr. Paul Edvin",1191,"Johansson, Mr. Nils",COMPANION
92,"Andreasson, Mr. Paul Edvin",834,"Augustsson, Mr. Albert",COMPANION
92,"Andreasson, Mr. Paul Edvin",1049,"Lundin, Miss. Olga Elida",COMPANION
